event,arg,line,offset,opcode,locals
opcode,,2,6,STORE_NAME,{'__module__': 'createCSV'}
line,,3,8,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,8,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,10,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,12,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,14,MAKE_FUNCTION,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,16,STORE_NAME,"{'__module__': 'createCSV', '__qualname__': 'ListNode'}"
opcode,,3,18,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'ListNode', '__init__': <function ListNode.__init__ at 0x7fa3685161f0>}"
opcode,,3,20,RETURN_VALUE,"{'__module__': 'createCSV', '__qualname__': 'ListNode', '__init__': <function ListNode.__init__ at 0x7fa3685161f0>}"
return,,3,20,RETURN_VALUE,"{'__module__': 'createCSV', '__qualname__': 'ListNode', '__init__': <function ListNode.__init__ at 0x7fa3685161f0>}"
opcode,,2,24,STORE_NAME,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List}"
