event,arg,line,offset,opcode,locals
opcode,,1,0,LOAD_NAME,{}
opcode,,1,2,STORE_NAME,{}
opcode,,1,4,LOAD_CONST,{'__module__': 'createCSV'}
opcode,,1,6,STORE_NAME,{'__module__': 'createCSV'}
line,,2,8,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,8,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,10,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,12,MAKE_FUNCTION,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,14,STORE_NAME,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,16,LOAD_CONST,"{'__module__': 'createCSV', '__qualname__': 'Solution', 'isMatch': <function Solution.isMatch at 0x7ff70843d9d0>}"
opcode,,2,18,RETURN_VALUE,"{'__module__': 'createCSV', '__qualname__': 'Solution', 'isMatch': <function Solution.isMatch at 0x7ff70843d9d0>}"
return,,2,18,RETURN_VALUE,"{'__module__': 'createCSV', '__qualname__': 'Solution', 'isMatch': <function Solution.isMatch at 0x7ff70843d9d0>}"
opcode,,1,12,STORE_NAME,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
