event,arg,line,offset,opcode,locals,localObjects
opcode,,4,10,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,12,MAKE_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,14,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,16,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,18,LOAD_DEREF,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,20,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,22,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,24,BINARY_ADD,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,26,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,28,GET_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
opcode,,4,30,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
call,,4,-1,<0>,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
line,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
opcode,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
opcode,,4,2,LOAD_FAST,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
opcode,,4,4,FOR_ITER,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
opcode,,4,6,STORE_FAST,{'.0': <range_iterator object at 0x7fe5d837cb40>},{}
